sample1_id,sample2_id,sample1_filename,sample2_filename,sample1_run_date,sample2_run_date,correlation,group,outlier_status
80,94,13C_root_wheat_pot80_10wk.dpt,13C_root_soybean_pot94_10wk.dpt,12/5/24,12/9/24,0.57222938843576,soy_root_all_timepoints,Low
87,103,13C_soil_rice_pot87_10wk.dpt,13C_root_rice_pot103_0wk.dpt,12/5/24,12/9/24,0.6129493058523738,rice_root_all_timepoints,Low
119,103,13C_soil_rice_pot119_10wk.dpt,13C_root_rice_pot103_0wk.dpt,12/5/24,12/9/24,0.6177025640539462,rice_root_all_timepoints,Low
55,87,13C_soil_rice_pot55_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/9/24,0.6202778251769823,rice_soil_all_timepoints,Low
55,119,13C_soil_rice_pot55_10wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/9/24,0.624190999687438,rice_soil_all_timepoints,Low
55,79,13C_soil_rice_pot55_10wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.6262532308529639,rice_soil_all_timepoints,Low
27,55,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot55_10wk.dpt,12/5/24,12/5/24,0.6298825963709813,rice_soil_all_timepoints,Low
1,29,13C_soil_wheat_pot1_0wk.dpt,13C_soil_wheat_pot29_10wk.dpt,12/9/24,12/9/24,0.958423273813381,wheat_soil_all_timepoints,Low
103,55,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot55_10wk.dpt,12/5/24,12/5/24,0.7409759876118219,rice_soil_all_timepoints,Normal
87,79,13C_soil_rice_pot87_10wk.dpt,13C_root_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.7502928601947672,rice_root_all_timepoints,Normal
119,79,13C_soil_rice_pot119_10wk.dpt,13C_root_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.7552131991167227,rice_root_all_timepoints,Normal
80,62,13C_root_wheat_pot80_10wk.dpt,13C_root_soybean_pot62_0wk.dpt,12/5/24,12/9/24,0.7602357473850024,soy_root_all_timepoints,Normal
55,103,13C_root_rice_pot55_10wk.dpt,13C_root_rice_pot103_0wk.dpt,12/5/24,12/9/24,0.782116719130766,rice_root_all_timepoints,Normal
27,103,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot103_0wk.dpt,12/5/24,12/5/24,0.8000612425812645,rice_soil_all_timepoints,Normal
103,79,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.8448517727288288,rice_soil_all_timepoints,Normal
55,79,13C_root_rice_pot55_10wk.dpt,13C_root_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.8471157296982609,rice_root_all_timepoints,Normal
103,119,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/9/24,0.868838968930186,rice_soil_all_timepoints,Normal
103,87,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/9/24,0.8740351068644021,rice_soil_all_timepoints,Normal
55,87,13C_root_rice_pot55_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/5/24,0.9104859938305766,rice_root_all_timepoints,Normal
55,119,13C_root_rice_pot55_10wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/5/24,0.9173603885553127,rice_root_all_timepoints,Normal
62,94,13C_root_soybean_pot62_0wk.dpt,13C_root_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9229941955933614,soy_root_all_timepoints,Normal
1,32,13C_soil_wheat_pot1_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/9/24,12/9/24,0.966951851247739,wheat_soil_all_timepoints,Normal
103,79,13C_root_rice_pot103_0wk.dpt,13C_root_rice_pot79_0wk.dpt,12/9/24,12/9/24,0.9680761372246461,rice_root_all_timepoints,Normal
27,87,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/9/24,0.9691399846086092,rice_soil_all_timepoints,Normal
50,94,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/5/24,12/9/24,0.9699980869807094,soy_soil_all_timepoints,Normal
50,50,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot50_0wk.dpt,12/5/24,12/9/24,0.9720696342797384,soy_soil_all_timepoints,Normal
27,119,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/9/24,0.9723704207179762,rice_soil_all_timepoints,Normal
12,62,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot62_0wk.dpt,12/9/24,12/9/24,0.9730831448733702,soy_soil_all_timepoints,Normal
50,80,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot80_10wk.dpt,12/9/24,12/9/24,0.9760267883730411,soy_soil_all_timepoints,Normal
80,94,13C_soil_soybean_pot80_10wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9779290809735847,soy_soil_all_timepoints,Normal
28,1,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot1_0wk.dpt,12/9/24,12/9/24,0.9782552379739394,wheat_soil_all_timepoints,Normal
28,53,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/5/24,12/9/24,0.9794453892281829,wheat_soil_all_timepoints,Normal
32,53,13C_root_wheat_pot32_0wk.dpt,13C_root_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.9796890960348308,wheat_root_all_timepoints,Normal
50,62,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot62_0wk.dpt,12/9/24,12/9/24,0.9807289244078142,soy_soil_all_timepoints,Normal
1,53,13C_soil_wheat_pot1_0wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.9814358126359264,wheat_soil_all_timepoints,Normal
50,12,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot12_10wk.dpt,12/5/24,12/9/24,0.9826087529684411,soy_soil_all_timepoints,Normal
12,80,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot80_10wk.dpt,12/9/24,12/9/24,0.9832896615219726,soy_soil_all_timepoints,Normal
