sample1_id,sample2_id,sample1_filename,sample2_filename,sample1_run_date,sample2_run_date,correlation,group,outlier_status
50,62,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot62_0wk.dpt,12/5/24,12/9/24,0.9239905379725221,soy_soil_wk0,Low
28,1,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot1_0wk.dpt,12/5/24,12/9/24,0.9370825585174866,wheat_soil_wk0,Low
80,94,13C_soil_soybean_pot80_10wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9779290809735847,soy_soil_wk10,Low
80,94,13C_root_wheat_pot80_10wk.dpt,13C_root_soybean_pot94_10wk.dpt,12/5/24,12/9/24,0.57222938843576,soy_root_wk10,Normal
55,87,13C_soil_rice_pot55_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/9/24,0.6202778251769823,rice_soil_wk10,Normal
55,119,13C_soil_rice_pot55_10wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/9/24,0.624190999687438,rice_soil_wk10,Normal
27,103,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot103_0wk.dpt,12/5/24,12/5/24,0.8000612425812645,rice_soil_wk0,Normal
103,79,13C_soil_rice_pot103_0wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.8448517727288288,rice_soil_wk0,Normal
55,87,13C_root_rice_pot55_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/5/24,0.9104859938305766,rice_root_wk10,Normal
55,119,13C_root_rice_pot55_10wk.dpt,13C_soil_rice_pot119_10wk.dpt,12/5/24,12/5/24,0.9173603885553127,rice_root_wk10,Normal
1,32,13C_soil_wheat_pot1_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/9/24,12/9/24,0.966951851247739,wheat_soil_wk0,Normal
103,79,13C_root_rice_pot103_0wk.dpt,13C_root_rice_pot79_0wk.dpt,12/9/24,12/9/24,0.9680761372246461,rice_root_wk0,Normal
50,50,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot50_0wk.dpt,12/5/24,12/9/24,0.9720696342797384,soy_soil_wk0,Normal
28,1,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot1_0wk.dpt,12/9/24,12/9/24,0.9782552379739394,wheat_soil_wk0,Normal
50,62,13C_soil_soybean_pot50_0wk.dpt,13C_soil_soybean_pot62_0wk.dpt,12/9/24,12/9/24,0.9807289244078142,soy_soil_wk0,Normal
12,80,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot80_10wk.dpt,12/9/24,12/9/24,0.9832896615219726,soy_soil_wk10,Normal
28,28,13C_soil_wheat_pot28_0wk.dpt,13C_soil_soybean_pot28_0wk.dpt,12/5/24,12/9/24,0.983599470562242,wheat_soil_wk0,Normal
27,79,12C_soil_noplant_pot27_0wk.dpt,13C_soil_rice_pot79_0wk.dpt,12/5/24,12/9/24,0.9848689798342304,rice_soil_wk0,Normal
28,32,13C_soil_wheat_pot28_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/5/24,12/9/24,0.9886481832900964,wheat_soil_wk0,Normal
29,53,13C_soil_wheat_pot29_10wk.dpt,13C_soil_wheat_pot53_10wk.dpt,12/9/24,12/9/24,0.9911808348301214,wheat_soil_wk10,Normal
12,94,13C_soil_soybean_pot12_10wk.dpt,13C_soil_soybean_pot94_10wk.dpt,12/9/24,12/9/24,0.9939618738735413,soy_soil_wk10,Normal
119,87,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/9/24,12/9/24,0.9965675557275578,rice_soil_wk10,Normal
119,87,13C_soil_rice_pot119_10wk.dpt,13C_soil_rice_pot87_10wk.dpt,12/5/24,12/5/24,0.9967397867162948,rice_root_wk10,Normal
28,32,13C_soil_soybean_pot28_0wk.dpt,13C_soil_wheat_pot32_0wk.dpt,12/9/24,12/9/24,0.9980172074804612,wheat_soil_wk0,Normal
72,72,12C_soil_noplant_pot72_256scans.dpt,13C_soil_noplant_pot72_0wk.dpt,12/5/24,12/9/24,1.0,noPlant_soil_wk0,Normal
